,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%)_x,VOLUME,MARKET CAP.,PRICE,CHANGE (%)_y,1-YEAR CH. (%) *,PE RATIO (TTM),DIVIDEND YIELD (%),FREE FLOAT,30D VOLUME AVG.
72,BCL,88.11,88.41,90.38,88.00,88.04,-0.07,-0.08%,"17,299",1.0B,88.04,-0.08%,-23.16%,0.00,0.00,6.3M,"23,728"
73,BECO,8.98,8.93,8.93,8.80,8.80,-0.18,-2.00%,"16,982",1.1B,8.80,-2.00%,64.49%,48.89,0.00,31.2M,"169,700"
74,BELA,167.91,167.00,180.00,159.00,165.25,-2.66,-1.58%,"3,449",,,,,,,,
75,BERG,100.36,100.55,101.47,100.00,100.01,-0.35,-0.35%,"6,150",2.5B,100.01,-0.35%,40.72%,8.73,3.70,9.8M,"85,938"
76,BFAGRO,26.25,26.26,26.50,25.99,26.05,-0.20,-0.76%,"475,811",8.1B,26.05,-0.76%,-0.76%,0.00,0.00,77.5M,"2,446,768"
77,BFBIO,165.09,166.50,167.00,164.83,166.57,1.48,0.90%,"325,453",14.7B,166.57,0.90%,0.90%,0.00,0.00,26.5M,"1,649,755"
78,BFMOD,7.19,7.36,7.36,7.24,7.19,0.00,0.00%,200,54.0M,7.19,0.00%,30.73%,2.93,0.00,2.3M,"13,146"
79,BGL,10.02,10.01,10.23,10.01,10.06,0.04,0.40%,"82,140",6.4B,10.06,0.40%,21.06%,0.00,0.00,39.2M,"539,430"
80,BHAT,795.00,799.98,799.98,799.98,795.00,0.00,0.00%,1,2.4B,795.00,0.00%,-24.64%,0.00,0.00,152.0K,75
81,BIFO,170.09,172.85,172.85,170.50,171.00,0.91,0.54%,"18,917",7.9B,171.00,0.53%,64.42%,66.80,2.29,13.9M,"21,466"
82,BILF,17.10,17.97,17.97,16.50,17.05,-0.05,-0.29%,"6,680",,,,,,,,
83,BIPL,21.05,21.10,21.85,21.01,21.65,0.60,2.85%,"1,145,437",,,,,,,,
84,BIPL-APRB,21.33,21.43,22.00,21.43,21.81,0.48,2.25%,"351,500",,,,,,,,
85,BIPL-MARB,20.90,21.21,21.22,21.21,21.22,0.32,1.53%,"4,000",,,,,,,,
86,BIPL-MAYB,21.66,0.00,0.00,0.00,22.21,0.55,2.54%,"14,000",,,,,,,,
87,BML,3.73,3.70,3.75,3.51,3.67,-0.06,-1.61%,"1,028,763",24.3B,3.67,-1.61%,73.93%,0.00,0.00,993.3M,"3,986,936"
88,BML-MAR,3.77,2.99,3.50,2.99,3.50,-0.27,-7.16%,"99,000",,,,,,,,
89,BNL,23.55,24.00,24.10,21.90,22.46,-1.09,-4.63%,"1,064,987",1.5B,22.46,-4.63%,71.58%,0.00,0.00,33.4M,"924,100"
90,BNWM,34.72,34.72,34.72,34.13,34.19,-0.53,-1.53%,"3,705",325.0M,34.19,-1.53%,40.70%,3.08,0.00,4.8M,"33,240"
91,BOK,14.82,14.82,15.00,13.62,14.63,-0.19,-1.28%,"11,100",,,,,,,,
92,BOP,10.98,11.10,11.10,10.76,10.82,-0.16,-1.46%,"12,408,468",,,,,,,,
93,BOP-APRB,11.14,11.20,11.20,10.90,10.98,-0.16,-1.44%,"9,410,000",,,,,,,,
94,BOP-MARB,10.99,10.70,11.03,10.70,10.80,-0.19,-1.73%,"10,179,000",,,,,,,,
95,BRRG,22.40,22.00,22.45,22.00,22.40,0.00,0.00%,450,2.1B,22.40,0.00%,54.59%,2.13,2.21,47.5M,"21,599"
96,BTL,291.50,291.50,291.50,291.50,291.50,0.00,0.00%,3,1.9B,291.50,0.00%,-8.85%,0.00,0.00,964.8K,163
97,BUXL,141.52,141.21,141.21,138.00,141.18,-0.34,-0.24%,511,203.3M,141.18,-0.24%,59.11%,63.31,0.00,576.0K,"1,385"
98,BWCL,382.42,383.00,384.50,380.01,384.00,1.58,0.41%,"3,333",229.0B,384.00,0.41%,91.98%,12.41,6.13,29.8M,"22,462"
99,BWHL,135.50,135.50,137.00,135.50,136.25,0.75,0.55%,"5,329",1.8B,136.25,0.55%,-17.42%,7.22,8.39,7.3M,"4,728"
100,CASH,34.00,37.00,37.00,32.21,34.00,0.00,0.00%,41,365.3M,34.00,0.00%,90.16%,37.36,0.00,1.6M,"6,809"
101,CENI,48.49,48.50,48.50,47.59,48.09,-0.40,-0.82%,"15,090",2.7B,48.09,-0.83%,71.87%,4.55,15.79,13.8M,"20,708"
102,CEPB,25.40,25.70,25.80,25.01,25.40,0.00,0.00%,"397,065",10.2B,25.40,0.00%,-10.56%,27.91,0.00,140.6M,"291,303"
103,CEPB-APR,26.00,25.30,26.25,25.30,25.59,-0.41,-1.58%,"821,500",,,,,,,,
104,CEPB-MAR,25.47,25.50,28.00,24.75,25.32,-0.15,-0.59%,"944,000",,,,,,,,
105,CEPB-MAY,26.13,0.00,0.00,0.00,26.05,-0.08,-0.31%,"6,000",,,,,,,,
106,CHAS,69.90,66.00,69.69,66.00,67.09,-2.81,-4.02%,643,1.9B,67.09,-4.02%,6.49%,0.00,0.00,4.3M,"5,720"
107,CHBL,7.13,7.33,7.48,7.29,7.39,0.26,3.65%,"7,100",849.9M,7.39,3.65%,206.64%,0.00,0.00,38.3M,"177,778"
108,CHCC,250.95,251.00,254.00,248.00,250.00,-0.95,-0.38%,"352,936",48.6B,250.00,-0.38%,64.01%,6.70,2.01,116.6M,"474,492"
109,CHCC-APRB,251.07,256.00,256.00,252.00,252.00,0.93,0.37%,"10,500",,,,,,,,
110,CHCC-MARB,251.68,251.00,251.50,243.40,243.40,-8.28,-3.29%,"16,500",,,,,,,,
111,CJPL,3.67,3.79,3.79,3.70,3.77,0.10,2.72%,"5,536",,,,,,,,
112,CLCPS,2.97,3.02,3.02,2.62,2.82,-0.15,-5.05%,"19,074",,,,,,,,
113,CLOV,46.27,46.25,47.00,46.00,46.22,-0.05,-0.11%,"95,092",,,,,,,,
114,CLVL,13.76,13.40,13.40,12.50,12.91,-0.85,-6.18%,"13,764",930.9M,12.91,-6.18%,82.60%,0.00,0.00,14.4M,"10,694"
115,CNERGY,8.00,8.00,8.41,7.95,8.26,0.26,3.25%,"45,500,561",45.4B,8.26,3.25%,82.74%,10.73,0.00,1.6B,"21,369,406"
116,CNERGY-APR,8.10,8.10,8.52,8.10,8.39,0.29,3.58%,"11,698,500",,,,,,,,
117,CNERGY-MAR,8.00,8.00,8.43,8.00,8.23,0.23,2.88%,"6,403,000",,,,,,,,
118,COLG,"1,437.01","1,445.98","1,445.99","1,430.00","1,431.18",-5.83,-0.41%,"6,145",347.5B,"1,431.18",-0.41%,7.62%,17.71,4.42,24.3M,"9,621"
119,CPHL,88.57,88.85,89.20,86.89,87.07,-1.50,-1.69%,"1,310,940",19.9B,87.07,-1.69%,275.14%,24.19,4.77,80.0M,"6,097,817"
120,CPHL-APR,89.60,90.00,90.00,87.72,88.01,-1.59,-1.77%,"1,738,500",,,,,,,,
121,CPHL-MAR,88.61,88.99,89.00,86.52,87.03,-1.58,-1.78%,"2,396,000",,,,,,,,
122,CPPL,105.77,106.00,106.01,105.51,105.71,-0.06,-0.06%,"26,089",5.2B,105.71,-0.06%,-13.66%,5.25,3.27,29.5M,"51,639"
123,CRTM,13.71,13.67,13.78,13.60,13.73,0.02,0.15%,"43,186",1.4B,13.73,0.15%,-7.10%,0.00,0.00,60.0M,"77,379"
124,CSAP,104.89,105.45,105.45,103.71,104.05,-0.84,-0.80%,"160,826",8.1B,104.05,-0.80%,53.94%,6.45,5.24,38.8M,"511,858"
125,CSAP-APRB,106.00,106.01,106.01,105.00,105.07,-0.93,-0.88%,"5,500",,,,,,,,
126,CSAP-MARB,105.00,102.00,107.59,101.00,103.33,-1.67,-1.59%,"29,000",,,,,,,,
127,CSIL,2.70,2.73,2.79,2.65,2.68,-0.02,-0.74%,"252,197",288.6M,2.68,-0.74%,-10.07%,5.25,0.00,106.2M,"565,208"
128,CTM,3.80,3.88,3.88,3.64,3.65,-0.15,-3.95%,"8,090",1.8B,3.65,-3.95%,32.73%,0.00,0.00,49.8M,"42,983"
129,CWSM,48.04,48.88,48.88,46.92,47.03,-1.01,-2.10%,"319,143",,,,,,,,
130,CYAN,30.99,31.50,31.87,30.69,31.47,0.48,1.55%,"9,844",1.9B,31.47,1.55%,26.39%,3.47,13.15,12.3M,"14,995"
131,DAAG,96.62,104.90,106.28,101.25,106.28,9.66,10.00%,"7,767",425.1M,106.28,10.00%,661.86%,265.70,0.00,800.0K,"3,222"
132,DADX,61.49,61.78,62.50,60.01,62.16,0.67,1.09%,"6,375",669.1M,62.16,1.09%,83.47%,0.00,0.00,538.2K,"31,818"
133,DBCI,4.75,4.70,4.85,4.70,4.73,-0.02,-0.42%,"12,510",,,,,,,,
134,DCL,9.15,9.15,9.25,9.02,9.06,-0.09,-0.98%,"1,237,261",4.4B,9.06,-0.98%,35.02%,0.00,0.00,121.0M,"2,267,714"
135,DCL-APR,9.20,9.20,9.60,9.06,9.16,-0.04,-0.43%,"432,000",,,,,,,,
136,DCL-MAR,9.13,9.10,9.25,9.01,9.11,-0.02,-0.22%,"646,000",,,,,,,,
137,DCR,24.98,25.05,25.09,24.92,24.99,0.01,0.04%,"555,641",55.6B,24.99,0.04%,77.23%,5.69,9.43,555.9M,"522,700"
138,DEL,8.61,8.98,8.98,8.98,8.61,0.00,0.00%,5,236.8M,8.61,0.00%,77.16%,4.81,0.00,13.8M,"49,007"
139,DFML,44.67,44.95,45.00,44.20,44.60,-0.07,-0.16%,"1,732,510",6.2B,44.60,-0.16%,181.57%,0.00,0.00,55.5M,"3,918,068"
140,DFML-APR,45.25,45.47,45.50,44.70,45.16,-0.09,-0.20%,"2,752,500",,,,,,,,
141,DFML-MAR,44.73,44.60,44.99,42.72,44.53,-0.20,-0.45%,"3,179,000",,,,,,,,
142,DFSM,3.39,3.30,3.49,3.30,3.38,-0.01,-0.29%,"17,069",330.4M,3.38,-0.29%,12.67%,0.00,0.00,34.2M,"96,077"
143,DGKC,132.99,132.99,136.90,132.10,135.33,2.34,1.76%,"4,818,120",59.3B,135.33,1.76%,107.98%,19.67,0.00,197.2M,"7,434,061"
144,DGKC-APR,134.28,134.50,137.90,133.61,136.68,2.40,1.79%,"2,435,500",,,,,,,,
145,DGKC-MAR,132.97,134.00,137.97,131.76,134.89,1.92,1.44%,"1,926,000",,,,,,,,
146,DHPL,41.72,41.99,42.20,41.50,41.67,-0.05,-0.12%,"45,244",20.1B,41.67,-0.12%,-0.12%,0.00,0.00,336.9M,"145,657"
147,DIIL,30.75,33.83,33.83,33.83,33.83,3.08,10.02%,601,304.5M,33.83,10.02%,23.65%,0.00,0.00,1.4M,"1,040"
148,DINT,52.51,52.50,52.50,50.53,52.51,0.00,0.00%,23,2.8B,52.51,0.00%,-29.99%,0.00,0.00,7.9M,438
149,DLL,278.27,298.99,298.99,280.05,285.67,7.40,2.66%,289,16.9B,285.67,2.66%,29.88%,5.57,1.14,5.9M,804
150,DMTX,57.77,57.99,57.99,57.77,57.77,0.00,0.00%,400,,,,,,,,
151,DNCC,14.98,14.55,15.49,14.55,14.77,-0.21,-1.40%,"32,367",4.7B,14.77,-1.40%,18.16%,14.07,0.00,94.9M,"33,432"
152,DOL,24.07,24.01,26.01,24.00,25.19,1.12,4.65%,"3,825,081",4.4B,25.19,4.65%,27.74%,6.86,15.48,52.5M,"647,336"
153,DSIL,5.34,5.30,5.30,5.10,5.14,-0.20,-3.75%,"763,104",430.1M,5.14,-3.74%,80.35%,257.00,0.00,66.9M,"731,168"
154,DSL,6.20,6.12,6.25,6.02,6.12,-0.08,-1.29%,"472,010",,,,,,,,
155,DWAE,35.00,33.80,35.66,33.80,34.34,-0.66,-1.89%,"1,099",,,,,,,,
156,DWSM,5.70,5.70,5.80,5.70,5.80,0.10,1.75%,"12,946",,,,,,,,
157,DYNO,221.82,222.79,222.79,216.00,219.27,-2.55,-1.15%,"4,607",4.1B,219.27,-1.15%,23.88%,4.73,2.24,12.3M,"23,895"
158,ECOP,26.00,27.17,28.60,26.00,26.62,0.62,2.38%,"169,994",1.3B,26.62,2.39%,93.32%,4.68,6.33,38.6M,"30,292"
159,EFERT,207.40,207.50,209.90,207.00,207.58,0.18,0.09%,"920,485",,,,,,,,
160,EFERT-APRB,209.72,210.00,211.00,209.00,210.00,0.28,0.13%,"38,500",,,,,,,,
161,EFERT-MARB,207.50,208.00,208.50,207.00,207.50,0.00,0.00%,"26,500",,,,,,,,
162,EFUG,130.49,130.00,130.00,123.00,124.89,-5.60,-4.29%,"1,621",,,,,,,,
163,EFUL,151.34,153.70,153.70,152.97,152.97,1.63,1.08%,"10,450",,,,,,,,
164,ELCM,151.03,135.93,135.97,135.93,151.03,0.00,0.00%,184,196.3M,151.03,0.00%,106.89%,0.00,0.00,260.0K,344
165,EMCO,28.39,28.88,28.88,28.85,28.39,0.00,0.00%,448,993.6M,28.39,0.00%,-14.62%,0.00,0.00,10.5M,"1,927"
166,ENGROH,189.11,190.00,190.10,188.00,188.87,-0.24,-0.13%,"531,168",227.4B,188.87,-0.13%,33.00%,9.22,4.04,963.4M,"2,261,890"
167,EPCL,37.60,37.60,37.99,37.46,37.71,0.11,0.29%,"549,497",34.3B,37.71,0.29%,-16.14%,83.80,0.00,227.2M,"1,234,562"
168,EPCL-APR,38.00,38.00,39.00,37.80,38.09,0.09,0.24%,"525,500",,,,,,,,
169,EPCL-MAR,37.66,37.50,38.00,37.40,37.54,-0.12,-0.32%,"422,000",,,,,,,,
170,EPCLPS,11.30,11.01,11.01,11.01,11.01,-0.29,-2.57%,"1,000",,,,,,,,
171,EPQL,29.12,29.00,31.45,29.00,30.32,1.20,4.12%,"1,094,728",9.8B,30.32,4.12%,6.87%,4.59,22.46,97.1M,"421,112"
172,ESBL,5.10,5.10,5.29,5.07,5.25,0.15,2.94%,"7,710",711.9M,5.25,2.94%,31.58%,0.00,0.00,20.3M,"19,007"
173,EXIDE,859.49,855.11,869.98,850.00,853.99,-5.50,-0.64%,"9,281",6.6B,853.99,-0.64%,124.14%,7.32,1.25,1.9M,"13,427"
174,FABL,47.81,47.95,48.30,47.40,48.04,0.23,0.48%,"1,399,625",,,,,,,,
175,FABL-APRB,48.00,48.50,50.90,48.50,48.50,0.50,1.04%,"785,000",,,,,,,,
176,FABL-MARB,47.49,47.50,50.90,47.50,48.26,0.77,1.62%,"341,000",,,,,,,,
177,FANM,3.00,2.94,2.94,2.94,2.94,-0.06,-2.00%,815,67.9M,2.94,-2.00%,-2.00%,0.00,0.00,12.7M,"7,632"
178,FASM,323.08,315.00,322.00,300.60,323.08,0.00,0.00%,40,3.2B,323.08,0.00%,3.72%,0.00,0.00,1.0M,174
179,FATIMA,87.43,88.00,88.10,85.50,86.12,-1.31,-1.50%,"2,975,698",180.9B,86.12,-1.50%,121.50%,5.17,8.94,315.0M,"623,556"
180,FATIMA-APR,88.50,88.00,88.00,87.00,87.00,-1.50,-1.69%,"3,000",,,,,,,,
181,FATIMA-MAR,88.00,87.12,87.50,86.06,86.06,-1.94,-2.20%,"283,500",,,,,,,,
182,FCCL,46.12,46.47,47.15,46.09,46.41,0.29,0.63%,"14,246,294",113.8B,46.41,0.63%,173.16%,11.16,2.73,858.5M,"19,779,053"
183,FCCL-APR,46.49,46.50,47.50,46.50,46.88,0.39,0.84%,"7,549,000",,,,,,,,
184,FCCL-MAR,46.29,46.18,47.41,46.10,46.35,0.06,0.13%,"4,092,000",,,,,,,,
185,FCEPL,83.17,84.00,84.00,82.90,83.20,0.03,0.04%,"119,154",63.8B,83.20,0.04%,21.83%,28.99,3.14,76.7M,"768,498"
186,FCEPL-APR,84.50,83.99,84.00,83.00,83.16,-1.34,-1.59%,"61,500",,,,,,,,
187,FCEPL-APRB,81.47,82.50,82.50,81.51,81.77,0.30,0.37%,"95,000",,,,,,,,
188,FCEPL-MAR,83.14,83.70,84.00,82.75,83.10,-0.04,-0.05%,"78,500",,,,,,,,
