,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%)_x,VOLUME,MARKET CAP.,PRICE,CHANGE (%)_y,1-YEAR CH. (%) *,PE RATIO (TTM),DIVIDEND YIELD (%),FREE FLOAT,30D VOLUME AVG.
232,GFIL,7.24,6.97,7.15,6.97,7.07,-0.17,-2.35%,"4,520",230.7M,7.07,-2.35%,2.17%,0.00,0.00,3.3M,"15,592"
233,GGGL,8.78,8.95,8.95,8.65,8.78,0.00,0.00%,"770,409",2.1B,8.78,0.00%,51.64%,9.15,0.00,120.0M,"4,550,992"
234,GGL,13.85,13.80,13.89,13.56,13.64,-0.21,-1.52%,"2,262,916",4.8B,13.64,-1.52%,36.40%,433.02,0.00,177.1M,"2,359,399"
235,GGL-APR,13.97,13.95,13.96,13.70,13.75,-0.22,-1.57%,"3,906,000",,,,,,,,
236,GGL-MAR,13.84,13.80,13.97,13.58,13.61,-0.23,-1.66%,"4,727,000",,,,,,,,
237,GHGL,33.98,33.98,34.60,33.05,33.25,-0.73,-2.15%,"255,440",33.2B,33.25,-2.15%,31.27%,5.30,3.09,349.9M,"779,154"
238,GHGL-MAR,34.10,34.01,34.01,34.01,34.01,-0.09,-0.26%,500,,,,,,,,
239,GHNI,757.89,763.00,769.00,750.00,764.27,6.38,0.84%,"727,777",32.6B,764.27,0.84%,384.85%,14.94,0.00,14.9M,"885,213"
240,GHNI-APR,767.84,767.84,776.00,760.00,770.05,2.21,0.29%,"733,000",,,,,,,,
241,GHNI-MAR,758.55,760.00,768.00,751.00,762.66,4.11,0.54%,"581,500",,,,,,,,
242,GLAXO,417.68,418.00,424.00,417.68,418.43,0.75,0.18%,"146,294",133.3B,418.43,0.18%,395.59%,20.39,2.52,63.7M,"238,030"
243,GLAXO-APR,426.00,426.00,427.00,425.00,425.00,-1.00,-0.23%,"7,500",,,,,,,,
244,GLAXO-MAR,421.00,418.00,418.00,418.00,418.00,-3.00,-0.71%,"10,000",,,,,,,,
245,GLPL,142.72,146.00,149.00,145.00,146.63,3.91,2.74%,234,4.7B,146.63,2.74%,-2.23%,59.61,0.00,3.2M,"1,594"
246,GOC,60.00,58.03,58.03,58.03,60.00,0.00,0.00%,1,440.9M,60.00,0.00%,27.12%,5.55,3.08,1.1M,874
247,GRR,15.70,15.70,15.72,15.00,15.50,-0.20,-1.27%,"309,850",2.2B,15.50,-1.27%,19.23%,9.12,11.98,42.0M,"36,662"
248,GRYL,4.95,4.98,4.98,4.98,4.95,0.00,0.00%,1,106.4M,4.95,0.00%,50.00%,5.94,0.00,2.2M,"2,714"
249,GSPM,3.40,3.57,3.57,3.50,3.56,0.16,4.71%,800,,,,,,,,
250,GTYR,41.19,41.14,41.31,40.92,40.96,-0.23,-0.56%,"161,216",5.0B,40.96,-0.56%,16.43%,53.19,3.65,48.8M,"179,177"
251,GUSM,8.26,8.25,8.95,8.25,8.95,0.69,8.35%,"1,401",,,,,,,,
252,GVGL,44.22,44.22,44.89,44.00,44.80,0.58,1.31%,"7,474",6.7B,44.80,1.31%,1.82%,7.07,3.81,29.4M,"39,866"
253,GWLC,42.81,42.81,43.70,42.64,43.05,0.24,0.56%,"265,161",17.2B,43.05,0.56%,85.24%,9.34,0.00,40.0M,"1,222,353"
254,HABSM,70.65,70.01,71.04,68.10,70.00,-0.65,-0.92%,826,9.5B,70.00,-0.92%,-5.41%,5.53,7.42,40.5M,"7,714"
255,HAEL,12.00,11.51,12.60,11.50,11.66,-0.34,-2.83%,"34,819",151.5M,11.66,-2.83%,55.47%,0.00,0.00,1.6M,"9,426"
256,HALEON,789.33,790.01,794.00,787.00,788.19,-1.14,-0.14%,"31,456",,,,,,,,
257,HASCOL,12.05,12.00,12.15,11.90,11.97,-0.08,-0.66%,"2,174,813",,,,,,,,
258,HBL,152.89,153.97,154.00,152.50,152.79,-0.10,-0.07%,"568,480",,,,,,,,
259,HBL-APRB,154.78,155.08,155.60,154.00,154.87,0.09,0.06%,"983,000",,,,,,,,
260,HBL-MARB,153.10,153.75,153.80,152.40,152.89,-0.21,-0.14%,"964,000",,,,,,,,
261,HBLTETF,115.85,115.65,115.65,115.65,115.65,-0.20,-0.17%,"6,600",,,,,,,,
262,HCAR,291.84,292.00,293.09,286.30,289.40,-2.44,-0.84%,"372,146",41.3B,289.40,-0.84%,34.44%,17.25,2.09,28.6M,"333,312"
263,HGFA,9.43,9.45,9.68,9.40,9.50,0.07,0.74%,"18,000",2.7B,9.50,0.74%,34.56%,0.00,0.00,265.1M,"68,712"
264,HICL,9.22,9.40,9.53,9.20,9.27,0.05,0.54%,"319,735",1.1B,9.27,0.54%,25.61%,6.92,10.42,68.1M,"136,112"
265,HIFA,3.48,3.34,3.48,3.33,3.43,-0.05,-1.44%,"7,248",974.5M,3.43,-1.44%,14.72%,0.00,10.15,241.5M,"184,884"
266,HINO,365.13,371.99,371.99,363.08,365.38,0.25,0.07%,"2,762",9.1B,365.38,0.07%,55.48%,320.51,0.00,2.5M,"3,916"
267,HINOON,885.32,904.90,950.00,880.00,917.69,32.37,3.66%,"103,656",48.6B,917.69,3.66%,78.36%,14.94,4.36,21.2M,"19,061"
268,HIRAT,3.08,3.17,3.17,3.01,3.01,-0.07,-2.27%,"89,227",,,,,,,,
269,HMB,88.94,90.00,90.00,88.50,89.99,1.05,1.18%,"44,091",,,,,,,,
270,HPL,"3,193.87","3,101.00","3,299.99","3,101.00","3,242.50",48.63,1.52%,75,,,,,,,,
271,HRPL,31.28,32.99,32.99,32.94,31.28,0.00,0.00%,77,1.3B,31.28,0.00%,-16.59%,0.00,0.00,8.0M,"2,236"
272,HTL,44.31,44.45,44.45,43.60,44.16,-0.15,-0.34%,"65,897",6.1B,44.16,-0.34%,92.25%,43.29,0.00,34.8M,"332,794"
273,HUBC,143.96,143.95,147.49,143.05,146.32,2.36,1.64%,"6,442,565",189.8B,146.32,1.64%,19.94%,5.83,12.22,972.9M,"6,061,581"
274,HUBC-APRB,145.02,144.30,148.59,144.30,147.74,2.72,1.88%,"1,338,000",,,,,,,,
275,HUBC-MARB,143.67,143.50,147.25,143.49,146.48,2.81,1.96%,"1,013,500",,,,,,,,
276,HUMNL,13.35,13.30,13.44,13.18,13.40,0.05,0.37%,"747,233",15.2B,13.40,0.38%,104.89%,5.43,0.00,567.0M,"1,078,552"
277,HUMNL-APR,13.61,13.35,13.95,13.35,13.54,-0.07,-0.51%,"1,479,000",,,,,,,,
278,HUMNL-MAR,13.40,13.25,14.00,13.16,13.40,0.00,0.00%,"1,270,500",,,,,,,,
279,HUSI,24.87,27.29,27.29,26.96,24.87,0.00,0.00%,11,264.3M,24.87,0.00%,46.29%,6.97,0.00,2.7M,"1,631"
280,HWQS,11.40,11.15,12.54,11.10,11.27,-0.13,-1.14%,"79,696",,,,,,,,
281,IBFL,354.94,350.99,360.60,350.99,358.22,3.28,0.92%,251,111.2B,358.22,0.92%,-1.84%,526.79,0.00,15.5M,433
282,IBLHL,37.47,37.82,37.82,36.90,37.10,-0.37,-0.99%,"95,842",3.2B,37.10,-0.99%,21.00%,0.00,0.00,21.4M,"93,175"
283,ICCI,11.90,11.70,12.45,11.30,12.03,0.13,1.09%,"38,881",360.9M,12.03,1.09%,533.16%,0.00,0.00,4.5M,"64,237"
284,ICIBL,1.39,1.40,1.47,1.33,1.40,0.01,0.72%,"618,946",398.8M,1.40,0.72%,5.26%,3.43,0.00,156.7M,"240,563"
285,ICL,74.39,73.51,75.90,73.00,74.11,-0.28,-0.38%,"2,575",7.4B,74.11,-0.38%,87.62%,5.68,6.01,35.0M,"40,851"
286,IDRT,21.46,22.30,23.61,20.11,21.29,-0.17,-0.79%,"88,589",422.7M,21.29,-0.79%,44.83%,0.00,0.00,2.0M,"17,813"
287,IDSM,14.26,14.20,14.20,14.00,14.00,-0.26,-1.82%,821,138.9M,14.00,-1.82%,0.00%,0.00,0.00,1.5M,"2,958"
288,IDYM,109.99,111.00,111.00,109.00,109.11,-0.88,-0.80%,"32,312",5.9B,109.11,-0.80%,-8.30%,0.00,0.00,8.1M,"8,948"
289,IGIHL,162.00,161.00,164.98,158.51,159.23,-2.77,-1.71%,"27,809",22.7B,159.23,-1.71%,35.87%,16.80,0.00,28.5M,"24,298"
290,ILP,63.15,63.15,63.49,62.30,62.67,-0.48,-0.76%,"372,366",87.8B,62.67,-0.76%,-13.12%,10.82,3.64,280.3M,"1,406,291"
291,ILP-APR,60.02,63.25,63.80,60.03,63.00,2.98,4.97%,"323,000",,,,,,,,
292,ILP-MAR,63.00,62.50,62.50,62.00,62.50,-0.50,-0.79%,"112,500",,,,,,,,
293,IMAGE,25.70,25.71,26.04,24.96,25.35,-0.35,-1.36%,"1,675,605",5.8B,25.35,-1.36%,121.01%,11.58,0.00,149.7M,"2,009,521"
294,IMAGE-APR,26.02,26.10,26.15,25.40,25.76,-0.26,-1.00%,"142,500",,,,,,,,
295,IMAGE-MAR,25.74,25.80,25.88,25.30,25.42,-0.32,-1.24%,"272,000",,,,,,,,
296,IML,17.00,16.00,18.69,16.00,16.65,-0.35,-2.06%,"2,500",1.6B,16.65,-2.06%,33.20%,26.02,0.00,24.8M,"5,567"
297,IMS,67.71,65.19,67.82,65.19,66.56,-1.15,-1.70%,"4,002",8.6B,66.56,-1.70%,504.54%,0.00,0.00,19.3M,"66,575"
298,INDU,"2,069.44","2,069.00","2,069.00","2,051.00","2,064.35",-5.09,-0.25%,868,162.3B,"2,064.35",-0.25%,30.08%,8.08,7.18,13.9M,"2,444"
299,INIL,159.93,159.55,161.74,157.10,160.31,0.38,0.24%,"178,067",21.1B,160.31,0.24%,14.65%,21.23,1.96,59.3M,"165,104"
300,INIL-APR,160.98,160.50,161.99,157.76,161.99,1.01,0.63%,"94,500",,,,,,,,
301,INIL-MAR,158.17,159.50,160.49,157.00,160.11,1.94,1.23%,"127,000",,,,,,,,
302,INKL,18.12,18.75,18.75,17.50,18.35,0.23,1.27%,"11,705",177.5M,18.35,1.27%,20.33%,0.00,4.53,3.9M,"30,037"
303,IPAK,20.85,21.00,21.00,20.00,20.09,-0.76,-3.65%,"74,943",14.1B,20.09,-3.65%,-3.65%,14.99,0.00,140.0M,"110,237"
304,ISIL,"1,834.55","1,865.00","1,865.00","1,865.00","1,834.55",0.00,0.00%,11,121.7B,"1,834.55",0.00%,74.72%,23.67,0.50,3.3M,124
305,ISL,79.83,81.84,81.84,78.00,78.06,-1.77,-2.22%,"425,711",34.0B,78.06,-2.22%,16.84%,18.50,3.11,152.3M,"261,911"
306,ISL-APR,80.48,80.82,80.82,78.51,79.03,-1.45,-1.80%,"115,500",,,,,,,,
307,ISL-MAR,79.00,80.00,80.00,76.01,78.02,-0.98,-1.24%,"119,500",,,,,,,,
308,ITTEFAQ,7.11,7.05,7.20,7.05,7.13,0.02,0.28%,"57,336",1.0B,7.13,0.28%,14.08%,0.00,0.00,93.8M,"294,464"
309,JATM,25.17,26.50,26.50,24.65,24.97,-0.20,-0.79%,"5,332",314.7M,24.97,-0.79%,-61.54%,0.00,0.00,1.9M,"4,964"
310,JDMT,53.09,52.55,52.60,50.55,51.08,-2.01,-3.79%,"7,197",353.3M,51.08,-3.79%,-18.92%,0.00,0.00,2.1M,"7,259"
311,JDWS,857.92,885.00,885.00,855.01,874.00,16.08,1.87%,151,50.5B,874.00,1.87%,94.22%,5.43,7.49,8.7M,392
312,JGICL,53.29,53.65,54.78,53.30,54.57,1.28,2.40%,"265,927",10.8B,54.57,2.40%,74.79%,3.08,9.57,69.5M,"221,967"
313,JKSM,63.25,69.00,69.58,69.00,63.25,0.00,0.00%,201,6.5B,63.25,0.00%,70.95%,7.57,0.00,5.1M,"4,158"
314,JLICL,149.96,154.49,154.49,145.51,148.51,-1.45,-0.97%,"5,058",,,,,,,,
315,JSBL,8.16,8.29,8.35,8.04,8.10,-0.06,-0.74%,"904,852",16.6B,8.10,-0.73%,-12.90%,5.83,0.00,410.1M,"787,471"
316,JSBL-APR,8.26,9.15,9.15,8.94,8.94,0.68,8.23%,"508,500",,,,,,,,
317,JSBL-MAR,8.09,8.19,9.00,8.15,8.22,0.13,1.61%,"546,500",,,,,,,,
318,JSCL,17.56,17.84,17.89,17.57,17.80,0.24,1.37%,"67,779",16.3B,17.80,1.37%,25.09%,44.50,0.00,229.0M,"448,454"
319,JSGBETF,20.25,20.45,20.45,20.43,20.43,0.18,0.89%,"13,000",,,,,,,,
320,JSGCL,108.10,112.89,113.00,108.00,112.85,4.75,4.39%,660,3.1B,112.85,4.39%,-15.15%,6.82,0.00,2.7M,914
321,JSIL,22.01,22.00,22.15,22.00,22.01,0.00,0.00%,"1,299",1.4B,22.01,0.00%,35.61%,3.03,0.00,12.4M,"14,042"
322,JSMFETF,13.35,13.23,14.50,13.23,13.56,0.21,1.57%,"189,500",,,,,,,,
323,JSML,42.92,42.95,43.75,41.51,43.55,0.63,1.47%,"18,991",1.5B,43.55,1.47%,140.61%,0.00,0.00,13.7M,"81,068"
324,JUBS,10.88,11.14,11.97,10.27,11.95,1.07,9.83%,"98,399",,,,,,,,
325,JVDC,62.71,63.29,64.98,63.29,64.95,2.24,3.57%,"81,628",24.7B,64.95,3.57%,96.82%,13.42,6.68,152.3M,"32,763"
326,KAPCO,33.77,33.82,34.20,33.78,33.82,0.05,0.15%,"596,882",29.8B,33.82,0.15%,24.06%,7.79,22.61,456.4M,"1,854,459"
327,KAPCO-APRB,34.00,34.00,34.44,34.00,34.44,0.44,1.29%,"16,000",,,,,,,,
328,KAPCO-MARB,33.80,33.90,34.10,33.52,33.52,-0.28,-0.83%,"74,000",,,,,,,,
329,KEL,4.50,4.51,4.51,4.36,4.39,-0.11,-2.44%,"10,996,061",121.2B,4.39,-2.44%,-2.23%,0.00,0.00,2.8B,"17,789,044"
330,KEL-APR,4.54,4.51,4.55,4.43,4.45,-0.09,-1.98%,"2,956,500",,,,,,,,
331,KEL-MAR,4.50,4.47,4.49,4.37,4.38,-0.12,-2.67%,"4,734,000",,,,,,,,
332,KHTC,310.04,315.00,317.85,305.11,308.60,-1.44,-0.46%,"5,932",2.1B,308.60,-0.46%,3.28%,0.00,0.00,984.0K,"10,087"
333,KML,33.90,31.43,35.05,31.43,33.90,0.00,0.00%,51,1.7B,33.90,0.00%,-10.77%,0.00,0.00,7.6M,561
334,KOHC,393.32,399.00,399.00,385.00,388.01,-5.31,-1.35%,"18,587",76.0B,388.01,-1.35%,77.82%,6.71,0.00,58.8M,"95,533"
335,KOHE,22.99,23.10,23.29,22.99,23.22,0.23,1.00%,"67,752",3.9B,23.22,1.00%,-37.09%,3.37,26.79,67.8M,"138,162"
336,KOHP,6.73,6.65,6.74,6.41,6.72,-0.01,-0.15%,"41,831",84.7M,6.72,-0.15%,16.67%,0.00,0.00,6.9M,"20,256"
337,KOHTM,28.24,29.49,29.49,26.52,27.29,-0.95,-3.36%,"8,866",567.6M,27.29,-3.36%,73.27%,2.16,2.95,4.2M,"6,455"
338,KOIL,11.65,11.32,11.80,11.10,11.31,-0.34,-2.92%,"9,195",342.7M,11.31,-2.92%,58.18%,8.08,0.00,16.7M,"73,416"
339,KOSM,5.98,5.96,6.00,5.90,5.93,-0.05,-0.84%,"3,724,387",2.4B,5.93,-0.84%,31.19%,0.00,0.00,226.7M,"4,039,345"
340,KOSM-APR,6.06,6.01,6.10,5.94,6.03,-0.03,-0.50%,"13,273,000",,,,,,,,
341,KOSM-MAR,5.97,5.92,6.00,5.80,5.93,-0.04,-0.67%,"14,459,000",,,,,,,,
342,KPUS,120.55,118.76,123.55,118.75,122.48,1.93,1.60%,735,2.0B,122.48,1.60%,-53.11%,0.00,0.00,800.9K,516
343,KSBP,160.13,160.15,161.00,158.50,159.68,-0.45,-0.28%,"6,158",4.9B,159.68,-0.28%,40.99%,56.03,0.00,8.4M,"93,716"
344,KSTM,8.90,8.03,8.03,8.03,8.90,0.00,0.00%,400,,,,,,,,
345,KTML,169.99,171.00,172.99,158.00,163.23,-6.76,-3.98%,"104,057",44.0B,163.23,-3.98%,77.33%,21.62,0.00,53.9M,"34,045"
346,LCI,"1,370.36","1,382.00","1,385.00","1,350.00","1,380.38",10.02,0.73%,"4,564",127.5B,"1,380.38",0.73%,67.32%,10.35,6.23,13.9M,"16,924"
347,LEUL,29.85,29.00,29.95,27.00,29.00,-0.85,-2.85%,"4,278",174.0M,29.00,-2.85%,153.28%,0.00,0.00,1.8M,"11,562"
348,LIVEN,92.02,93.00,93.00,90.00,90.04,-1.98,-2.15%,"3,255",8.4B,90.04,-2.15%,682.96%,7.72,0.00,4.7M,"21,363"
349,LOADS,17.80,17.55,17.85,17.50,17.66,-0.14,-0.79%,"242,841",4.4B,17.66,-0.79%,122.14%,4.16,0.00,125.6M,"1,545,844"
350,LOTCHEM,19.19,19.47,19.47,18.98,19.01,-0.18,-0.94%,"924,515",28.8B,19.01,-0.94%,-2.66%,10.86,2.39,378.6M,"6,841,986"
351,LOTCHEM-APR,19.51,19.40,19.50,19.20,19.20,-0.31,-1.59%,"868,000",,,,,,,,
352,LOTCHEM-MAR,19.29,19.28,19.30,18.77,18.99,-0.30,-1.56%,"1,531,000",,,,,,,,
353,LPGL,110.80,121.88,121.88,120.00,121.88,11.08,10.00%,"34,331",914.1M,121.88,10.00%,330.82%,19.41,0.00,1.9M,"9,640"
354,LPL,28.09,28.48,29.10,28.30,28.88,0.79,2.81%,"1,444,190",11.0B,28.88,2.81%,48.56%,1.81,22.10,151.9M,"709,813"
355,LPL-APR,28.35,28.70,29.00,28.39,28.50,0.15,0.53%,"331,500",,,,,,,,
356,LPL-MAR,28.25,28.27,28.96,28.26,28.89,0.64,2.27%,"91,500",,,,,,,,
357,LSECL,5.48,5.50,5.52,5.30,5.35,-0.13,-2.37%,"157,390",969.2M,5.35,-2.37%,-2.37%,9.22,7.75,81.5M,"54,702"
358,LSEFSL,17.63,18.49,18.49,17.00,17.00,-0.63,-3.57%,"1,079",606.5M,17.00,-3.57%,-3.57%,36.17,3.18,5.4M,"35,679"
359,LSEVL,10.86,11.40,11.60,10.60,10.70,-0.16,-1.47%,"615,341",1.9B,10.70,-1.47%,108.98%,8.05,9.85,107.8M,"105,406"
360,LUCK,"1,491.28","1,486.01","1,518.00","1,480.20","1,496.60",5.32,0.36%,"265,302",438.5B,"1,496.60",0.36%,96.82%,15.54,1.36,87.9M,"514,236"
361,LUCK-APR,"1,500.50","1,490.01","1,520.00","1,490.00","1,503.75",3.25,0.22%,"44,000",,,,,,,,
362,LUCK-MAR,"1,493.25","1,490.00","1,505.05","1,490.00","1,496.00",2.75,0.18%,"42,000",,,,,,,,
363,MACFL,15.61,15.61,15.75,15.26,15.43,-0.18,-1.15%,"16,695",915.0M,15.43,-1.15%,-18.36%,10.02,7.31,20.8M,"49,079"
364,MACTER,406.25,401.00,410.00,401.00,404.59,-1.66,-0.41%,"3,784",18.5B,404.59,-0.41%,325.88%,29.71,0.70,16.0M,"16,205"
365,MARI,687.25,690.00,694.99,682.51,684.16,-3.09,-0.45%,"1,424,153",821.4B,684.16,-0.45%,-72.76%,1.19,18.62,240.1M,"1,988,237"
366,MARI-APR,694.74,695.02,699.99,690.01,691.68,-3.06,-0.44%,"455,000",,,,,,,,
367,MARI-MAR,687.08,693.00,693.98,680.50,684.77,-2.31,-0.34%,"352,500",,,,,,,,
368,MCB,276.49,278.79,281.40,276.51,280.66,4.17,1.51%,"1,084,898",,,,,,,,
369,MCBIM,81.05,81.00,82.30,81.00,81.23,0.18,0.22%,"4,816",5.8B,81.23,0.22%,183.23%,4.52,8.97,10.8M,"8,231"
370,MDTL,2.01,2.06,2.08,2.00,2.02,0.01,0.50%,"141,253",361.3M,2.02,0.50%,34.67%,3.42,0.00,116.3M,"251,479"
371,MEBL,244.90,245.00,247.99,243.00,247.40,2.50,1.02%,"550,356",,,,,,,,
372,MEBL-APRB,245.00,245.00,245.00,245.00,245.00,0.00,0.00%,500,,,,,,,,
373,MEHT,341.98,343.90,359.00,336.00,348.40,6.42,1.88%,"1,258",10.5B,348.40,1.88%,-12.43%,32.38,0.00,22.5M,"2,346"
374,MERIT,10.73,10.72,10.74,10.50,10.67,-0.06,-0.56%,"8,736",2.1B,10.67,-0.56%,4.10%,0.00,0.00,40.0M,"167,553"
375,MFFL,214.02,215.00,216.50,211.50,213.20,-0.82,-0.38%,"25,829",4.9B,213.20,-0.38%,37.96%,12.70,0.00,6.9M,"81,333"
376,MFL,43.18,42.60,43.70,42.60,43.70,0.52,1.20%,"4,550",5.3B,43.70,1.20%,54.36%,0.00,0.00,30.6M,"33,927"
377,MIIETF,15.58,15.60,15.62,15.55,15.59,0.01,0.06%,"143,000",,,,,,,,
378,MIRKS,30.00,29.90,29.99,29.62,29.80,-0.20,-0.67%,"20,492",2.0B,29.80,-0.67%,-15.10%,0.00,0.00,30.0M,"59,598"
379,MLCF,59.50,59.51,60.90,59.10,59.66,0.16,0.27%,"11,305,147",62.5B,59.66,0.27%,66.74%,9.78,0.00,471.4M,"14,293,255"
380,MLCF-APR,59.97,60.00,61.55,59.57,60.37,0.40,0.67%,"6,395,500",,,,,,,,
381,MLCF-MAR,59.49,59.30,60.97,59.01,59.63,0.14,0.24%,"4,449,500",,,,,,,,
382,MRNS,48.50,47.05,48.57,47.00,47.70,-0.80,-1.65%,561,3.6B,47.70,-1.65%,-9.14%,0.00,2.12,22.5M,"6,576"
383,MSCL,9.87,9.75,10.00,9.75,10.00,0.13,1.32%,"6,059",309.8M,10.00,1.32%,-33.33%,0.00,0.00,7.7M,"21,949"
384,MSOT,53.33,49.06,49.06,49.06,53.33,0.00,0.00%,1,3.6B,53.33,0.00%,20.93%,0.00,0.00,13.5M,"2,351"
385,MTL,590.82,595.47,599.96,585.00,598.15,7.33,1.24%,"144,798",114.7B,598.15,1.24%,2.32%,13.86,7.24,86.3M,"182,672"
386,MTL-APRB,600.00,600.00,608.00,590.00,599.56,-0.44,-0.07%,"13,500",,,,,,,,
387,MTL-MARB,592.00,593.00,597.00,593.00,597.00,5.00,0.84%,"3,500",,,,,,,,
388,MUGHAL,73.45,73.45,74.40,72.33,72.65,-0.80,-1.09%,"150,502",24.4B,72.65,-1.09%,13.11%,26.13,0.00,83.9M,"548,197"
389,MUGHAL-APRB,74.51,75.50,76.30,73.00,73.87,-0.64,-0.86%,"120,500",,,,,,,,
390,MUGHAL-MARB,73.64,74.00,75.99,72.50,73.50,-0.14,-0.19%,"107,500",,,,,,,,
391,MUGHALR2,3.01,4.01,4.01,4.01,4.01,1.00,33.22%,"403,872",,,,,,,,
392,MUREB,737.89,739.99,739.99,735.00,737.26,-0.63,-0.09%,840,20.4B,737.26,-0.08%,111.47%,6.16,4.18,11.1M,"13,292"
393,MWMP,15.44,15.44,15.44,14.55,14.96,-0.48,-3.11%,"24,940",430.1M,14.96,-3.11%,326.21%,3.98,0.00,2.9M,"30,934"
394,MZNPETF,18.34,18.32,18.39,18.20,18.36,0.02,0.11%,"438,500",,,,,,,,
395,NATF,215.62,217.00,217.00,214.50,215.20,-0.42,-0.19%,"22,429",50.2B,215.20,-0.19%,32.84%,29.08,3.62,58.3M,"97,791"
396,NBP,77.13,77.00,78.00,76.00,76.29,-0.84,-1.09%,"3,627,283",,,,,,,,
397,NBP-APRB,77.73,77.80,78.30,76.75,76.99,-0.74,-0.95%,"1,042,000",,,,,,,,
398,NBP-MARB,77.00,77.00,77.70,76.00,76.27,-0.73,-0.95%,"1,734,500",,,,,,,,
399,NBPGETF,23.49,23.66,25.53,23.63,23.72,0.23,0.98%,"44,000",,,,,,,,
400,NCL,33.41,33.40,34.00,33.06,33.49,0.08,0.24%,"72,098",8.0B,33.49,0.24%,40.01%,5.90,2.85,120.1M,"170,056"
401,NCML,11.74,11.20,12.80,11.20,11.74,0.00,0.00%,378,,,,,,,,
402,NCPL,27.50,27.50,27.85,27.25,27.57,0.07,0.25%,"388,981",10.1B,27.57,0.26%,5.63%,0.00,18.54,202.0M,"746,467"
403,NCPL-APR,27.89,27.73,27.79,27.50,27.79,-0.10,-0.36%,"36,500",,,,,,,,
404,NCPL-MAR,27.73,27.54,27.54,27.00,27.39,-0.34,-1.23%,"44,000",,,,,,,,
405,NESTLE,"7,385.78","7,384.00","7,394.99","7,360.00","7,371.50",-14.28,-0.19%,141,334.3B,"7,371.50",-0.19%,-3.45%,22.58,2.23,2.3M,174
406,NETSOL,139.59,140.49,140.49,137.32,137.52,-2.07,-1.48%,"437,080",12.4B,137.52,-1.48%,12.44%,16.14,1.86,27.0M,"629,510"
407,NETSOL-APR,141.00,140.75,141.30,138.81,139.06,-1.94,-1.38%,"728,000",,,,,,,,
408,NETSOL-MAR,139.55,139.50,140.00,137.05,137.42,-2.13,-1.53%,"747,500",,,,,,,,
409,NEXT,8.79,9.00,9.00,8.55,8.65,-0.14,-1.59%,"5,507",492.4M,8.65,-1.59%,84.04%,0.00,0.00,28.5M,"11,485"
410,NICL,139.28,139.49,143.50,138.00,138.49,-0.79,-0.57%,"9,657",15.3B,138.49,-0.57%,43.78%,10.66,2.43,38.7M,"12,698"
411,NITGETF,26.25,26.59,26.62,26.57,26.60,0.35,1.33%,"17,000",,,,,,,,
412,NML,112.85,112.00,113.80,109.95,110.21,-2.64,-2.34%,"260,270",38.7B,110.21,-2.34%,65.73%,7.95,2.80,158.2M,"657,449"
413,NML-APR,114.57,113.00,114.53,111.90,111.90,-2.67,-2.33%,"29,000",,,,,,,,
414,NML-MAR,112.93,111.90,113.00,110.00,110.03,-2.90,-2.57%,"69,000",,,,,,,,
415,NPL,38.32,39.00,39.95,38.50,39.40,1.08,2.82%,"1,378,291",14.0B,39.40,2.82%,34.24%,44.77,31.11,173.1M,"784,434"
416,NPL-APRB,38.83,39.50,39.50,39.50,39.50,0.67,1.73%,"35,000",,,,,,,,
417,NPL-MARB,38.05,38.00,38.65,38.00,38.65,0.60,1.58%,"36,000",,,,,,,,
418,NRL,259.04,262.44,262.44,256.00,257.05,-1.99,-0.77%,"378,515",20.6B,257.05,-0.77%,-2.06%,0.00,0.00,26.3M,"469,342"
419,NRL-APR,262.11,261.11,265.00,259.30,259.99,-2.12,-0.81%,"768,000",,,,,,,,
420,NRL-MAR,259.09,258.99,261.80,253.20,256.75,-2.34,-0.90%,"726,500",,,,,,,,
421,NRSL,26.56,26.98,27.21,26.56,27.15,0.59,2.22%,"175,807",3.8B,27.15,2.22%,35.41%,13.78,3.25,56.5M,"45,779"
422,OBOY,10.52,10.65,11.19,10.50,10.59,0.07,0.67%,"4,252,347",264.8M,10.59,0.66%,89.11%,0.00,0.00,16.5M,"388,363"
423,OBOYR2,0.52,1.46,1.52,1.12,1.52,1.00,192.31%,"4,354,008",,,,,,,,
424,OCTOPUS,58.61,59.48,59.48,57.22,57.53,-1.08,-1.84%,"742,589",9.0B,57.53,-1.84%,42.93%,36.64,0.00,47.2M,"931,502"
425,OCTOPUS-APR,59.48,59.50,59.70,58.01,58.31,-1.17,-1.97%,"1,081,000",,,,,,,,
426,OCTOPUS-MAR,58.78,58.90,58.90,56.50,57.55,-1.23,-2.09%,"1,394,000",,,,,,,,
427,OGDC,232.75,233.44,233.99,230.40,232.73,-0.02,-0.01%,"2,613,031",1.0T,232.73,-0.01%,89.72%,5.95,5.74,645.1M,"4,722,974"
428,OGDC-APRB,235.11,235.75,235.99,232.80,234.83,-0.28,-0.12%,"2,752,500",,,,,,,,
429,OGDC-MARB,232.74,231.40,233.50,230.60,231.97,-0.77,-0.33%,"1,864,000",,,,,,,,
430,OLPL,36.47,36.40,36.50,36.10,36.40,-0.07,-0.19%,"29,625",6.4B,36.40,-0.19%,25.69%,4.73,8.41,87.7M,"32,282"
